sku_code,sku_name,station,platform,abcd,profile_segment,blend_daily,system_daily,blend_monthly,system_monthly,actual_monthly,actual_daily,error_daily,ape,kpi_comparable,version_no
DJ503351_3,US SD L桌高桌带X字双抽  一件一箱 颜色->灰色989-3,ALL,AMAZON,B,T3,7.6349,6.2606,236.68,194.08,115,3.7097,2.5509,0.6876,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ503351_3,US SD L桌高桌带X字双抽  一件一箱 颜色->灰色989-3,ALL,UNKNOWN,B,T4B,0.6857,0.3291,21.26,10.20,37,1.1935,-0.8644,0.7243,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ503351_3,US SD L桌高桌带X字双抽  一件一箱 颜色->灰色989-3,ALL,WALMART,B,T4B,1.1898,0.6396,36.88,19.83,33,1.0645,-0.4249,0.3992,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ503351_4,US SD L桌高桌带X字双抽  一件一箱 颜色->黑色,ALL,AMAZON,B,T3,6.8144,5.5878,211.25,173.22,124,4.0000,1.5878,0.3970,t,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ503351_4,US SD L桌高桌带X字双抽  一件一箱 颜色->黑色,ALL,TEMU,B,T4B,2.0386,0.8317,63.20,25.78,39,1.2581,-0.4264,0.3389,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ503351_4,US SD L桌高桌带X字双抽  一件一箱 颜色->黑色,ALL,WALMART,B,T4B,0.5414,0.2911,16.78,9.02,9,0.2903,0.0008,0.0027,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ503385_1,US 床T-B208Q软包全拆弧形床头悬浮含插盘灯带153*203 颜色麻布深灰,ALL,AMAZON,B,T4B,1.6008,0.7684,49.62,23.82,18,0.5806,0.1878,0.3234,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ503385_1,US 床T-B208Q软包全拆弧形床头悬浮含插盘灯带153*203 颜色麻布深灰,ALL,TIKTOK,B,T4B,0.5965,0.2434,18.49,7.55,14,0.4516,-0.2082,0.4610,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ503385_1,US 床T-B208Q软包全拆弧形床头悬浮含插盘灯带153*203 颜色麻布深灰,ALL,UNKNOWN,B,T4B,0.9044,0.4602,28.04,14.27,32,1.0323,-0.5721,0.5542,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
DJ503411_3,EU KM 铁木圆形升降咖啡桌 颜色->白色,ALL,AMAZON,C,T4B,1.5477,0.6315,47.98,19.58,24,0.7742,-0.1427,0.1843,f,6 个月 · 全平台 · 全量 SKU · 2026-07-09
