SKU编码,SKU名称,站点,平台,ABCD类,分层,混合水平月销量,系统预测月销量,实际月销量,偏差数量,偏差率,绝对偏差率APE
DJ503080_1,"US BF 书柜 金色铁腿+托盘含插盘（大款）加RGB灯带 一件一箱 颜色->#1,黑色小麻",ALL,UNKNOWN,C,T4B,17.00,7.13,9,-1.87,-0.2078,0.2078
DJ503164_2,US SD 1m悬浮升降咖啡桌 颜色->白色 一件一箱,ALL,TEMU,C,T4B,15.24,6.22,9,-2.78,-0.3090,0.3090
DJ503351_4,US SD L桌高桌带X字双抽  一件一箱 颜色->黑色,ALL,WALMART,B,T4B,16.78,9.02,9,0.02,0.0027,0.0027
DJ504177_1,EU AG JYH208 棉麻软包气杆床 三灯带 140*190cm 一件两箱 颜色->深灰色,ALL,UNKNOWN,A,T4B,5.54,2.66,9,-6.34,-0.7048,0.7048
DJ504179_1,EU AG JYH208 棉麻软包气杆床 三灯带 160*200cm 一件两箱 颜色->深灰色,ALL,UNKNOWN,C,T4B,10.85,5.21,9,-3.79,-0.4213,0.4213
DJ504243_1,US UA 带推车侧架马桶柜（扩色） 一件一箱 颜色->黑色,ALL,WALMART,C,T4B,15.25,7.32,9,-1.68,-0.1868,0.1868
DJ504340_2,"US AG 乡村风高款边桌 一件一箱 尺码->#11,仿古白+棕色橡木",ALL,UNKNOWN,C,T4B,22.79,10.94,9,1.94,0.2155,0.2155
DJ504543_1,US TS08 1米6长11抽悬浮顶电视柜带灯带插排 一件一箱 颜色->黑色,ALL,UNKNOWN,C,T4B,8.21,4.41,9,-4.59,-0.5099,0.5099
DJ504792_2,EU BW 软包气动床BQQ-01 HQ 608 灰色 一件两箱 90*200,ALL,AMAZON,C,T4B,22.36,10.74,9,1.74,0.1928,0.1928
DJ504890_1,US SD L桌商用高桌带洞洞板 一件两箱 颜色->棕色+黑,ALL,TEMU,C,T4B,8.41,4.04,9,-4.96,-0.5512,0.5512
DJ504891_1_WF,"US SJ02款 T尺寸两布抽铁床 一件一箱,重量不超22kg 颜色->黑色",ALL,UNKNOWN,D,T4B,32.99,13.46,9,4.46,0.4956,0.4956
DJ504898_3,US BJS-549 T 儿童树屋床+布抽 含灯带 99*190cm 一件一箱 颜色->粉色,ALL,UNKNOWN,B,T4B,17.70,9.51,9,0.51,0.0571,0.0571
DJ504909_2,US DC 公主床 BPS-02 床侧三抽屉-F 米白色 一件一箱,ALL,AMAZON,C,T4B,18.97,9.11,9,0.11,0.0120,0.0120
DJ505032_3,US R124款 屋顶书架低阁楼床 带灯带床头置物袋侧边挂袋，一件一箱 颜色->粉色,ALL,WALMART,B,T4B,9.74,5.24,9,-3.76,-0.4179,0.4179
DJ505178_2,US 双顶带软包凳咖啡桌 一件一箱 颜色->火烧云,ALL,UNKNOWN,C,T4B,4.05,2.18,9,-6.82,-0.7579,0.7579
DJ505246_4,"US UA DK-XZ04 双拼色行政电脑桌一件两箱 颜色->#4,大理石（原4071 新洞洞板）",ALL,WALMART,C,T4B,5.40,2.75,9,-6.25,-0.6948,0.6948
DJ505259_1,"US AG 板式床 藤编拼框 4抽 掀盖靠背 Q款 一件两箱 颜色->#1,木纹色",ALL,UNKNOWN,C,T4B,7.37,3.96,9,-5.04,-0.5595,0.5595
DJ505406_2,US BJS-102T带帐蓬屋顶双层床含灯带99*190 一件一箱  颜色白铁+米色布,ALL,TIKTOK,B,T4B,3.39,1.82,9,-7.18,-0.7975,0.7975
DJ505443_2,US AG 3翻门板式四抽床 F款 一件两箱 颜色->灰色,ALL,AMAZON,C,T4B,13.61,7.32,9,-1.68,-0.1871,0.1871
DJ505483_1,US 1.2米双铁网门厨房置物架 一件一箱 颜色-> 颜色->黑麻,ALL,TEMU,C,T4B,7.97,3.83,9,-5.17,-0.5750,0.5750
DJ505516_6,EU BW 软包气动床BQQ-01 HQ 608 白色 一件两箱 180*200,ALL,AMAZON,C,T4B,29.01,13.92,9,4.92,0.5469,0.5469
DJ505536_2,US DC 高架床 TPB-04  RL 幼儿风格 树屋款  三人床 一件一箱 颜色->白色,ALL,WALMART,C,T4B,5.76,2.76,9,-6.24,-0.6931,0.6931
DJ505550_1,"US UA DK-SJ03 L型板式储物升降电脑桌 一件两箱 颜色->#1,胡桃色+黑色",ALL,WALMART,C,T4B,6.93,3.73,9,-5.27,-0.5860,0.5860
DJ505563_2,"USHA MFL-DT35 无拉手8抽悬浮矮柜含灯带 一件两箱 颜色->#2,白色麻面",ALL,AMAZON,C,T4B,52.24,28.08,9,19.08,2.1203,2.1203
DJ505565_2,US UA BK--ST01 上F下T儿童储物床 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,15.72,7.55,9,-1.45,-0.1616,0.1616
DJ505599_4,"EU KM BF-GJ04 铁木拐角床头侧软包带柜门 尺码->M,90*200;颜色->黑色,黑板+灰软包",ALL,UNKNOWN,C,T4B,5.31,2.55,9,-6.45,-0.7165,0.7165
DJ505646_2,US VD 板式床 乡村风 3灯带 2柜门 4抽 Q 一件两箱 颜色->灰色,ALL,UNKNOWN,C,T4B,6.42,3.08,9,-5.92,-0.6576,0.6576
DJ505756_1,US AG 大款玻璃桌面 铁木3抽2门书桌 一件一箱 颜色->白色,ALL,UNKNOWN,C,T4B,5.31,2.55,9,-6.45,-0.7165,0.7165
DJ505757_3,US SR RWD-01 2×3 6抽抽屉柜辐射松贴实木皮油漆 一件一箱 颜色->棕色,ALL,UNKNOWN,C,T4B,8.41,4.04,9,-4.96,-0.5512,0.5512
