SKU编码,SKU名称,站点,平台,ABCD类,分层,混合水平月销量,系统预测月销量,实际月销量,偏差数量,偏差率,绝对偏差率APE
DJ502530_2,US AE 书柜 三抽带储物空间加灯带插排 颜色->黑色,ALL,AMAZON,A,T1,2401.54,1873.20,1822,51.20,0.0281,0.0281
SKDJ502530_2,US AE 书柜 三抽带储物空间加灯带插排 颜色->黑色,ALL,TIKTOK,C,T3P,1360.27,1303.43,1626,-322.57,-0.1984,0.1984
DJ502952_1,US SD 23款L桌高桌 一件一箱 颜色->黑色,ALL,AMAZON,A,T1,884.08,689.59,745,-55.41,-0.0744,0.0744
SKDJVN000014_3,"US AE 书柜(Vietnam) 3抽屉 带插排小台款（大款）加RGB灯带 颜色->#2,黑色麻面",ALL,TIKTOK,C,T3P,548.25,466.01,674,-207.99,-0.3086,0.3086
DJ502530_1,US AE 书柜 三抽带储物空间加灯带插排 颜色->白色,ALL,AMAZON,B,T1,839.86,655.09,616,39.09,0.0635,0.0635
DJ503905_1,US AG 高款板式三抽边桌 灯带+排插 一件一箱 颜色->黑色,ALL,AMAZON,A,T2,579.64,420.07,555,-134.93,-0.2431,0.2431
DJ503733_3,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 灰 F 一件一箱,ALL,AMAZON,A,T2,552.73,400.57,550,-149.43,-0.2717,0.2717
DJ505226_2,US 595款 F尺寸上床下桌6抽U形桌面带灯带插排 一件两箱 颜色->白色,ALL,AMAZON,A,T1,522.57,407.61,539,-131.39,-0.2438,0.2438
DJ502530_1,US AE 书柜 三抽带储物空间加灯带插排 颜色->白色,ALL,TIKTOK,B,T4B,13.10,7.04,515,-507.96,-0.9863,0.9863
DJ503441_2,US PT 正方形升降谷仓咖啡桌 颜色->黑麻+火烧云,ALL,AMAZON,A,T1,615.07,506.33,509,-2.67,-0.0052,0.0052
DJ505534_2,US SD L桌五抽带两组亚克力门  一件一箱 颜色->黑麻,ALL,AMAZON,A,T4B,313.15,168.35,498,-329.65,-0.6620,0.6620
DJ505323_2,US 床GSI-005T带步梯双层2抽+6布抽床含灯带99*190一件两箱黑铁+黑山纹板,ALL,AMAZON,A,T3,262.76,236.49,486,-249.51,-0.5134,0.5134
DJ503733_1,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 T 一件一箱,ALL,AMAZON,A,T2,480.15,347.97,475,-127.03,-0.2674,0.2674
DJ502512_2,US AE 书柜 3抽屉 带插排小台款（大款） 颜色->黑色,ALL,AMAZON,A,T2,547.78,427.27,463,-35.73,-0.0772,0.0772
DJ505240_1,US 床YW-43T上床下电竞桌3抽储物柜含灯带99*190 一件两箱黑色铁+黑麻板,ALL,AMAZON,A,T2,456.12,330.55,462,-131.45,-0.2845,0.2845
DJ504015_2,US 纯板材三抽双人电脑桌  一件一箱 颜色   橡木棕色（顶板）+白麻（主体）,ALL,AMAZON,A,T2,452.86,328.19,456,-127.81,-0.2803,0.2803
DJ505162_1,US DC 铁木床 CBF-02L 方管铁木角落床带抽篮-113 F 黑 一件两箱,ALL,AMAZON,A,T1,554.43,432.45,452,-19.55,-0.0432,0.0432
DJ505493_3,US 1.15米铁木四门厨房置物架带灯 一件一箱 颜色->火烧云,ALL,TIKTOK,C,T4B,10.85,5.21,416,-410.79,-0.9875,0.9875
DJ505323_3,US 床GSI-005T带步梯双层2抽+6布抽床含灯带99*190一件两箱白铁+白山纹板,ALL,AMAZON,A,T3,291.40,278.00,404,-126.00,-0.3119,0.3119
DJ505117_2,US 1.2米推拉零食柜 一件两箱 颜色->白+棕,ALL,AMAZON,A,T2,319.51,272.41,392,-119.59,-0.3051,0.3051
DJ502512_13,"US AE 书柜 3抽屉 带插排小台款（大款） 颜色->#3,灰木纹色",ALL,AMAZON,A,T2,513.80,400.76,378,22.76,0.0602,0.0602
DJ504017_1,US DC 铁木床 CBF-02L 方管铁木角落床带抽篮-113 T 黑 一件一箱,ALL,AMAZON,A,T2,571.46,445.74,374,71.74,0.1918,0.1918
DJ505806_2,US 1.4米升降桌 一件两箱  颜色->主体黑+顶板棕,ALL,AMAZON,B,T4B,143.93,69.09,364,-294.91,-0.8102,0.8102
DJ503917_3,US 玻璃门L桌高桌带布兜款 一件一箱 颜色->黑色,ALL,AMAZON,B,T2,366.28,265.44,339,-73.56,-0.2170,0.2170
DJ505668_4,US SD L桌带文件抽桌面宽470mm  颜色->989-3灰色,ALL,AMAZON,C,T4B,53.14,25.51,332,-306.49,-0.9232,0.9232
DJ504018_1,US 纯板材X字双抽高文件柜 一件一箱 颜色->白色+棕色,ALL,AMAZON,B,T2,272.20,197.27,325,-127.73,-0.3930,0.3930
DJ505125_1,US 侧面爬梯上床下桌T 一件两箱 颜色->火烧云,ALL,AMAZON,B,T2,308.71,223.72,324,-100.28,-0.3095,0.3095
DJ504019_1,US TA 100*80双抽谷仓门升降咖啡桌 一件一箱 颜色->白+棕,ALL,AMAZON,B,T2,258.75,220.61,323,-102.39,-0.3170,0.3170
DJ505806_1,US 1.4米升降桌 一件两箱  颜色->主体白+顶板棕,ALL,AMAZON,C,T4B,77.50,37.20,318,-280.80,-0.8830,0.8830
DJ502952_3,US SD 23款L桌高桌 一件一箱 颜色->白色,ALL,AMAZON,B,T2,285.46,243.38,317,-73.62,-0.2322,0.2322
DJ505135_1,US SD 1.6米单人升降桌带文件柜  一件两箱 颜色->白麻+棕色,ALL,AMAZON,B,T2,249.36,212.60,314,-101.40,-0.3229,0.3229
DJ505212_1,US DC 铁木床 CBF-08改 铁木储物带尾桌 154 T款 一件两箱  颜色->黑色,ALL,AMAZON,A,T2,338.88,245.59,314,-68.41,-0.2179,0.2179
DJ502890_3,US SD L桌带洞洞铁皮带排插  一件一箱 颜色->黑色,ALL,AMAZON,B,T2,369.09,267.48,310,-42.52,-0.1372,0.1372
DJ502988_4,US SD L桌带两层网书架 一件一箱 颜色->火烧云,ALL,AMAZON,B,T2,374.38,271.32,310,-38.68,-0.1248,0.1248
DJ503281,EU DC 欧标木质LED打砂镜柜双开门 80*16*60 白色 一件一箱,ALL,AMAZON,B,T3,428.46,408.75,309,99.75,0.3228,0.3228
DJ504085_2,US 单人L高桌5布抽低价款 一件一箱 颜色->黑麻,ALL,AMAZON,B,T2,365.42,264.82,308,-43.18,-0.1402,0.1402
DJ505135_2,US SD 1.6米单人升降桌带文件柜  一件两箱  颜色->黑麻+棕色,ALL,AMAZON,B,T2,304.96,260.01,307,-46.99,-0.1531,0.1531
DJ505124_2,US 美式升降可直排L桌 一件两箱 颜色->棕+黑,ALL,AMAZON,B,T2,385.37,328.57,306,22.57,0.0738,0.0738
DJ504867_2,US SD U型书架桌带三抽   一件一箱 颜色 颜色->黑色,ALL,AMAZON,B,T2,370.48,288.98,304,-15.02,-0.0494,0.0494
DJ503733_4,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 灰 Q  一件一箱,ALL,AMAZON,B,T2,255.06,217.47,301,-83.54,-0.2775,0.2775
DJ505019_2,US DC 高架床 LLB-04  YL 私密堡垒储物款 T 尺寸 一件一箱 颜色->白色,ALL,AMAZON,B,T3,202.05,203.67,301,-97.33,-0.3234,0.3234
DJ505323_1,US 床GSI-005T带步梯双层2抽+6布抽床含灯带99*190一件两箱黑铁+火烧云板,ALL,AMAZON,A,T3,206.31,196.81,301,-104.19,-0.3461,0.3461
DJ504900_1,"US 床TB-2362F FB-儿童床-002  137*190 颜色->#1,米白色泰迪绒+杨木板",ALL,AMAZON,A,T4A,144.70,75.20,297,-221.80,-0.7468,0.7468
DJVN000013_3,"US AE 书柜（Vietnam）2抽屉板材带双灯 加高款 颜色->#2,黑色麻面",ALL,AMAZON,A,T2,449.99,326.11,291,35.11,0.1207,0.1207
DJ504993_1,UK DC 铁木床 CBF-01L 方管软包角落床带抽篮-153 90*190 灰色 一件一箱,ALL,AMAZON,C,T4B,64.71,34.79,289,-254.21,-0.8796,0.8796
DJ505621_1,US DC 炫酷软包床 BFCB-01 PU材质 床头下翻门 灯带插排 黑色 F改 一件一箱,ALL,AMAZON,B,T4A,82.33,42.79,286,-243.21,-0.8504,0.8504
SKDJ502530_1,US AE 书柜 三抽带储物空间加灯带插排 颜色->白色,ALL,TIKTOK,C,T3P,476.80,476.80,286,190.80,0.6671,0.6671
DJ502512_1,US AE 书柜 3抽屉 带插排小台款（大款） 颜色->白色,ALL,AMAZON,B,T2,342.53,267.18,285,-17.82,-0.0625,0.0625
DJ505770_1,US DC 高架床 BBC-01 BD173 新长短边储物双床 双T 黑色 一件两箱,ALL,AMAZON,B,T4B,74.62,35.82,280,-244.18,-0.8721,0.8721
DJ505770_2,US DC 高架床 BBC-01 BD173 新长短边储物双床 双T 白色 一件两箱,ALL,AMAZON,B,T4B,60.01,28.80,274,-245.20,-0.8949,0.8949
DJ505534_2,US SD L桌五抽带两组亚克力门  一件一箱 颜色->黑麻,ALL,TIKTOK,A,T4B,37.10,19.94,272,-252.06,-0.9267,0.9267
DJ504015_4,US 纯板材三抽双人电脑桌  一件一箱 颜色->棕色+黑色,ALL,AMAZON,B,T2,231.44,197.32,271,-73.68,-0.2719,0.2719
DJ504400_1,"US AE 书柜 NT25 四抽悬浮滑盖加灯带插排 颜色->#1,黑色麻面",ALL,AMAZON,A,T2,282.35,204.62,270,-65.38,-0.2421,0.2421
DJ502952_4,US SD 23款L桌高桌 一件一箱 颜色->火烧云色,ALL,AMAZON,B,T2,303.37,258.65,269,-10.35,-0.0385,0.0385
DJ505171_1,US AG 翻盖布抽角落床 F 一件两箱 颜色->火烧云,ALL,AMAZON,B,T4A,91.18,44.84,269,-224.16,-0.8333,0.8333
DJ504285_1,US TS05 五抽悬浮电视柜带电视支架 颜色->黑色,ALL,AMAZON,B,T3,201.73,181.55,267,-85.45,-0.3200,0.3200
SKDJ504931_1,"US AE 书柜 NT30（原NT15） 三抽加高款带玻璃柜门加RGB灯带 一件一箱 颜色->#3,灰木纹色麻面",ALL,TIKTOK,C,T4B,164.90,88.65,266,-177.35,-0.6667,0.6667
SKDJ502530_23,"US AE 书柜 三抽带储物空间加灯带插排 颜色->#3,鱼肚白大理石纹",ALL,TIKTOK,C,T4B,211.06,101.31,264,-162.69,-0.6163,0.6163
DJ503734_1,US DC 铁木床 CBF-02L 方管铁木角落床带抽篮-113 T 灰 一件一箱,ALL,AMAZON,B,T2,500.97,390.76,263,127.76,0.4858,0.4858
DJ504085_1,US 单人L高桌5布抽低价款 一件一箱 颜色->火烧云,ALL,AMAZON,B,T2,242.94,176.06,261,-84.94,-0.3254,0.3254
DJ505164_1,US DC 铁木床 CBF-02L 方管铁木角落床带抽篮-113 F 灰 一件两箱,ALL,AMAZON,B,T2,310.15,241.92,261,-19.08,-0.0731,0.0731
DJ505572_2,US DC 高架床 LB-11  YL   六抽门架款   一件两箱 颜色->白色,ALL,AMAZON,B,T3,191.19,192.72,261,-68.28,-0.2616,0.2616
DJ504259_2,US SD 2.4米双人八抽电脑桌  一件一箱 颜色->黑色,ALL,AMAZON,B,T2,277.81,236.86,257,-20.14,-0.0784,0.0784
DJ505200_1,"US HA 书桌 VT11 8抽波浪纹大款梳妆台玻璃柜+七彩流光灯+插座 一件两箱A/B 颜色->#1,白色麻点",ALL,AMAZON,A,T3,233.32,214.56,257,-42.44,-0.1651,0.1651
DJ504405_1,US TS01 12抽悬浮顶电视柜带插排一拖二灯带 一件一箱 颜色->黑色,ALL,AMAZON,A,T4B,170.52,86.76,256,-169.24,-0.6611,0.6611
DJ505168_2,"US 594款 T尺寸上床下桌8抽带灯带插排 一件一箱,箱规不超49kg 颜色->白色",ALL,AMAZON,A,T2,368.73,287.61,255,32.61,0.1279,0.1279
DJ505359_1,EU FR镜柜 大小门单灯带无挂篮80*60cm 欧标2AC+1U1T 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,14.90,8.01,254,-245.99,-0.9685,0.9685
DJ502512_13,"US AE 书柜 3抽屉 带插排小台款（大款） 颜色->#3,灰木纹色",ALL,TEMU,A,T4B,115.11,58.57,250,-191.43,-0.7657,0.7657
DJ503441_5,US PT 正方形升降谷仓咖啡桌 颜色->复古白+棕,ALL,AMAZON,B,T2,250.44,181.50,245,-63.50,-0.2592,0.2592
DJ505670_4,US SD L桌带抽屉六抽款 一件一箱 颜色->火烧云,ALL,AMAZON,C,T4B,88.13,42.30,243,-200.70,-0.8259,0.8259
SKDJVN000013_3,"US AE 书柜（Vietnam）2抽屉板材带双灯 加高款 颜色->#2,黑色麻面",ALL,TIKTOK,C,T3P,394.93,394.93,240,154.93,0.6456,0.6456
DJ503441_3,US PT 正方形升降谷仓咖啡桌 颜色->灰色,ALL,AMAZON,A,T2,278.88,202.10,238,-35.90,-0.1508,0.1508
DJ504743_2,US 双高架K腿L高桌 一件一箱 颜色->黑色,ALL,AMAZON,B,T2,291.62,248.63,238,10.63,0.0447,0.0447
DJ503440_1_WF,US SD L桌三抽带单玻璃门  一件一箱 颜色->火烧云,ALL,UNKNOWN,B,T3P,229.71,243.50,236,7.50,0.0318,0.0318
DJ504899_1,"US 床TB-2362T FB-儿童床-002  99*190 颜色->#1,米白泰迪绒",ALL,AMAZON,A,T3,159.22,151.89,235,-83.11,-0.3536,0.3536
DJ505249_1,HS 储物柜-DSTL-01顶板推拉无把手 2x3 DFS 一件两箱  颜色->黑色,ALL,TIKTOK,C,T4B,116.47,59.26,234,-174.74,-0.7468,0.7468
DJ503905_3,US AG 高款板式三抽边桌 灯带+排插 一件一箱 颜色->火烧云,ALL,AMAZON,B,T2,249.04,180.48,233,-52.52,-0.2254,0.2254
DJ504916_3,EU MJ LED木质镜柜三开门内开 HYC 100*16*60 白色 一件一箱,ALL,AMAZON,B,T3,212.51,205.15,229,-23.85,-0.1041,0.1041
DJ502952_5,US SD 23款L桌高桌 一件一箱 颜色->989-3,ALL,AMAZON,C,T2,277.47,231.14,228,3.14,0.0138,0.0138
DJ504777_1,US UA 窄款拱顶书柜 一件一箱 颜色->黑色,ALL,AMAZON,B,T3,149.92,144.93,224,-79.08,-0.3530,0.3530
DJ505039_1,EU AG软包床 绒布四抽 1灯带 欧标3U+1T插排 1.4*1.9m 一件两箱  颜色->白,ALL,AMAZON,C,T4B,48.08,25.85,223,-197.15,-0.8841,0.8841
DJ503518_1,US SD 美式L桌四抽带柜门  一件两箱 颜色->白黑,ALL,AMAZON,B,T2,401.75,291.15,222,69.15,0.3115,0.3115
DJ503866_1,"US BF 电视柜 TV08 9抽无纺布带侧边层架左右变换一件一箱 颜色->#1,黑色pu抽面+黑浮雕板",ALL,AMAZON,B,T3,179.32,161.39,222,-60.61,-0.2730,0.2730
DJ504407_1,"EU-KM-90cm水槽柜 斜切拉手款 单包 颜色->白色,麻面白",ALL,UNKNOWN,C,T4B,125.88,67.67,221,-153.33,-0.6938,0.6938
DJ505124_1,US 美式升降可直排L桌 一件两箱 颜色->棕+白,ALL,AMAZON,B,T2,275.45,234.85,219,15.85,0.0724,0.0724
DJ504175_1,"US UA 高款拱顶书柜 铣型门板 一件一箱 颜色->黑色,浮雕黑",ALL,AMAZON,A,T2,263.12,190.69,217,-26.31,-0.1213,0.1213
DJ505125_2,US 侧面爬梯上床下桌T 一件两箱 颜色->白色,ALL,AMAZON,B,T3,193.24,183.15,216,-32.85,-0.1521,0.1521
DJ505364_1,EU FR板竹双开门水槽柜 一件一箱 颜色->白色,ALL,AMAZON,B,T4B,131.70,70.80,215,-144.20,-0.6707,0.6707
DJ505535_1,US 床YW-43F上床下电竞桌3抽储物柜含灯带137*190 一件两箱 颜色黑色铁+黑麻板,ALL,AMAZON,A,T3,161.84,154.40,215,-60.60,-0.2819,0.2819
DJ504073_1,US L型桌带X字抽储物文件柜  一件一箱   颜色->橡木棕+白,ALL,AMAZON,B,T2,248.69,193.97,214,-20.03,-0.0936,0.0936
DJ504091_2,EU AG 2抽斜封边抽面边桌 排插灯带 一件一箱 颜色->白色,ALL,AMAZON,C,T4A,115.03,53.38,214,-160.62,-0.7506,0.7506
DJ505257_1,US VD 板式床 掀盖软包靠背 双灯带 4抽 Q款 一件两箱 颜色->黑色,ALL,UNKNOWN,A,T4B,159.29,81.05,214,-132.95,-0.6213,0.6213
DJ505785_1,US 竖条纹美式铁木L桌 一件一箱 颜色->棕顶+白,ALL,AMAZON,B,T4B,100.31,48.15,214,-165.85,-0.7750,0.7750
DJVN000013_2,"US AE 书柜（Vietnam）2抽屉板材带双灯 加高款 颜色->#1,白色麻面",ALL,AMAZON,C,T3,130.25,136.76,213,-76.24,-0.3579,0.3579
DJ504907_1,US DC 炫酷软包床 BFCB-01 PU材质 床头下翻门 灯带插排 黑色 一件一箱 T,ALL,AMAZON,B,T4B,60.45,29.02,212,-182.98,-0.8631,0.8631
DJ502406,VD 竹制马桶架 大款 双门储物+单层架 原色 一个一箱,ALL,AMAZON,C,T3,155.70,140.13,211,-70.87,-0.3359,0.3359
DJ502988_1,US SD L桌带两层网书架 一件一箱 颜色->白色,ALL,AMAZON,B,T3,275.03,225.53,210,15.53,0.0739,0.0739
DJ505135_1_WF,US SD 1.6米单人升降桌带文件柜  一件两箱 颜色->白麻+棕色,ALL,UNKNOWN,B,T4B,136.93,73.61,210,-136.39,-0.6495,0.6495
DJ504649_2,US YW01 7抽帐篷低阁楼床带2条灯带床头置物袋 颜色->黑色,ALL,AMAZON,A,T3,327.38,343.75,206,137.75,0.6687,0.6687
DJ505320_1,EU AG三抽一格玻璃台面床头柜40*35cm含插座2AC+1U+1T 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,57.69,31.02,206,-174.98,-0.8494,0.8494
DJ503440_1,US SD L桌三抽带单玻璃门  一件一箱 颜色->火烧云,ALL,AMAZON,B,T3,238.65,195.69,205,-9.31,-0.0454,0.0454
DJ504092_2,"US AG 两抽波浪凹槽抽面边桌 一件一箱 尺码->#2,木色",ALL,AMAZON,C,T3,291.07,238.68,204,34.68,0.1700,0.1700
DJ503733_2,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 TXL 一件一箱,ALL,AMAZON,B,T3,244.30,200.33,203,-2.67,-0.0132,0.0132
DJ504091_1,EU AG 2抽斜封边抽面边桌 排插灯带 一件一箱 颜色->黑色,ALL,AMAZON,C,T3,140.25,129.00,201,-72.00,-0.3582,0.3582
DJ502555_1,US SD 2m带支架游戏高桌 颜色 >>黑麻+磨砂黑铁管一件一箱,ALL,AMAZON,C,T3,241.93,198.38,200,-1.62,-0.0081,0.0081
DJ504743_1,US 双高架K腿L高桌 一件一箱 颜色->火烧云,ALL,AMAZON,C,T3,161.06,153.65,200,-46.35,-0.2317,0.2317
DJ504348_1,"US 床RL-76T低阁楼床下8抽4空格含灯带99*190 颜色->#1,白色铁+白色PU布抽面",ALL,TIKTOK,A,T4B,42.51,20.41,199,-178.59,-0.8975,0.8975
DJ504831_1,EU FR 浴室柜 板竹结合马桶柜H80 一件一箱 颜色->白色,ALL,AMAZON,B,T3,166.94,150.25,199,-48.75,-0.2450,0.2450
DJ504931_2,"US AE 书柜 NT30（原NT15） 三抽加高款带玻璃柜门加RGB灯带 一件一箱 颜色->#1,黑色麻面",ALL,AMAZON,A,T3,225.12,226.00,199,27.00,0.1357,0.1357
DJ504983_1,US 1m农舍板材电脑桌 一件一箱 颜色->棕+白,ALL,AMAZON,C,T3,124.62,126.10,199,-72.90,-0.3663,0.3663
DJ503917_2,US 玻璃门L桌高桌带布兜款 一件一箱 颜色->白色,ALL,AMAZON,C,T3,181.37,177.07,198,-20.93,-0.1057,0.1057
DJ502512_4,US AE 书柜 3抽屉 带插排小台款 颜色->#4,ALL,AMAZON,B,T3,174.98,161.14,197,-35.86,-0.1820,0.1820
DJ504770_3,EU MS 猫爬架 2房1吊床2顶窝 175cm 一件一箱 颜色->浅灰色,ALL,AMAZON,C,T4B,94.61,38.60,196,-157.40,-0.8031,0.8031
DJ504172_1,EU DC 铁木床 CBF-01L 方管软包角落床带抽篮-131 90*200  灰色 一件一箱,ALL,AMAZON,B,T3,136.56,130.28,195,-64.72,-0.3319,0.3319
DJ504625_2,US 6抽错层亚克力柜门L高桌 一件一箱 颜色->黑色,ALL,AMAZON,C,T3,165.56,161.72,194,-32.28,-0.1664,0.1664
DJ504916_1,EU MJ LED木质镜柜三开门内开 HYC 80*16*60 白色 一件一箱,ALL,AMAZON,C,T3,144.14,140.58,194,-53.42,-0.2754,0.2754
DJ505135_2_WF,US SD 1.6米单人升降桌带文件柜  一件两箱  颜色->黑麻+棕色,ALL,UNKNOWN,C,T4B,115.72,58.88,194,-135.12,-0.6965,0.6965
DJ503441_1,US PT 正方形升降谷仓咖啡桌 颜色->白麻+火烧云,ALL,AMAZON,A,T3,308.22,258.14,193,65.14,0.3375,0.3375
DJ504101_1,EU AG 铁木软包床 火烧云置物层 欧标USB排插 灯带 1.4*1.9m 一件一箱 颜色->深灰色,ALL,AMAZON,C,T4B,94.71,38.64,192,-153.36,-0.7987,0.7987
DJ505141_2,US SD 1.7米L桌高桌三抽带谷仓门 一件两箱 颜色->黑麻+棕色,ALL,AMAZON,C,T4B,44.34,21.28,190,-168.72,-0.8880,0.8880
DJ503440_3,US SD L桌三抽带单玻璃门  一件一箱 颜色->白麻,ALL,AMAZON,B,T3,255.97,230.37,189,41.37,0.2189,0.2189
DJ504175_1,"US UA 高款拱顶书柜 铣型门板 一件一箱 颜色->黑色,浮雕黑",ALL,UNKNOWN,A,T4B,208.35,100.01,189,-88.99,-0.4709,0.4709
DJ504642_2,US SD 2米L桌带亚克力门文件柜  一件一箱 颜色->黑麻,ALL,AMAZON,C,T3,152.79,140.87,189,-48.13,-0.2547,0.2547
DJ503518_2,US SD 美式L桌四抽带柜门  一件两箱 颜色->灰色,ALL,AMAZON,C,T2,286.39,202.78,188,14.78,0.0786,0.0786
DJ505226_2_WF,US 595款 F尺寸上床下桌6抽U形桌面带灯带插排 一件两箱 颜色->白色,ALL,UNKNOWN,D,T4B,99.59,53.54,188,-134.46,-0.7152,0.7152
DJ502834_1,US AG 铁木3抽边桌 灯带+排插  一件一箱 颜色->黑色,ALL,AMAZON,B,T2,323.71,234.60,187,47.60,0.2545,0.2545
DJ504085_3,US 单人L高桌5布抽低价款 一件一箱 颜色->白麻,ALL,AMAZON,B,T3,181.74,165.63,186,-20.37,-0.1095,0.1095
DJ505534_3,US SD L桌五抽带两组亚克力门  一件一箱 颜色->白麻,ALL,TIKTOK,C,T4B,15.72,7.55,186,-178.45,-0.9594,0.9594
DJ502860_2,US AG 立柱开放储物灯带边桌 含插座  一件一箱 颜色->白色,ALL,AMAZON,C,T3,266.40,218.45,185,33.45,0.1808,0.1808
DJ504067_1,EU VD板竹上下双开门浴室高柜 一个一箱  颜色->白色,ALL,AMAZON,B,T3,183.99,188.79,185,3.79,0.0205,0.0205
DJ504078_1,US DC 铁木床 CBF-04L 方管铁木角落床带抽 128 黑色 T 一件一箱,ALL,AMAZON,B,T3,219.15,183.87,184,-0.13,-0.0007,0.0007
DJ504632_3,US SD L桌四抽带一组亚克力门  一件一箱 颜色->黑麻,ALL,AMAZON,C,T4B,101.00,41.21,184,-142.79,-0.7760,0.7760
DJ504874_2,US 1.2m6抽弧形文件柜 一件一箱 颜色->黑色,ALL,AMAZON,C,T4B,70.33,37.81,184,-146.19,-0.7945,0.7945
DJ505257_1,US VD 板式床 掀盖软包靠背 双灯带 4抽 Q款 一件两箱 颜色->黑色,ALL,AMAZON,A,T3,229.43,234.54,184,50.54,0.2747,0.2747
DJ505121_2,US 铣槽移动柜行政桌 一件两箱 颜色->989-3+黑麻,ALL,AMAZON,B,T3,163.87,153.90,183,-29.10,-0.1590,0.1590
DJ505308,US DC 高架床 LB-W  XF 外置儿童柜款 T尺寸 一件两箱,ALL,AMAZON,B,T3,144.63,145.78,182,-36.22,-0.1990,0.1990
DJ505256_1,US VD 板式床 掀盖软包靠背 双灯带 4抽 F款 一件两箱 颜色->黑色,ALL,UNKNOWN,B,T4B,119.88,60.99,181,-120.01,-0.6630,0.6630
DJ505050_4,EU BW铁木软包床LIWS-01 床头两层板+灯带+插排HQ 黑色+火烧色 一件一箱 140*200,ALL,AMAZON,C,T4B,34.76,16.69,180,-163.31,-0.9073,0.9073
DJ505173_1,US DC 铁木床 VABF-SP 铁木角落床可变双拼款- 160G 一件双箱 颜色->黑色,ALL,AMAZON,C,T4B,43.64,20.95,180,-159.05,-0.8836,0.8836
DJ505309_1,US HS 抽屉柜 DDB-06 2x4 底座 无把手 DFS 一件两箱 颜色->黑色,ALL,TIKTOK,C,T4B,42.79,23.00,180,-157.00,-0.8722,0.8722
DJ505382_1,EU FR浴室窄高柜 拼框玻璃柜门含灯光 上下单开门 三格H180 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,3.54,1.70,180,-178.30,-0.9905,0.9905
DJ505154_1,US DC 高架床 LBCD-01 2508 L型电脑桌款  一件两箱 颜色 黑色,ALL,AMAZON,B,T4A,60.72,28.18,179,-150.82,-0.8426,0.8426
DJ502566_2_WF,US SD 双抽文件柜带排插 一件一箱 颜色->火烧云,ALL,UNKNOWN,C,T4B,178.06,85.47,178,-92.53,-0.5198,0.5198
DJ504259_3,US SD 2.4米双人八抽电脑桌  一件一箱 颜色->灰色989-3,ALL,AMAZON,B,T3,162.07,145.86,177,-31.14,-0.1759,0.1759
DJ505212_2,US DC 铁木床 CBF-08改 铁木储物带尾桌 154 T款 一件两箱  颜色->白色,ALL,AMAZON,B,T3,193.38,183.00,177,6.00,0.0339,0.0339
DJ503955_2,US 美式角落桌带抽屉 一件一箱 颜色->灰色,ALL,AMAZON,B,T3,211.62,194.88,176,18.88,0.1072,0.1072
DJ505174_1,"US UA DK-XZ03 L型铁木3抽弧形腿行政桌 一件两箱 颜色->#1,胡桃色",ALL,AMAZON,C,T4A,83.19,38.60,175,-136.40,-0.7794,0.7794
DJ505668_2,US SD L桌带文件抽桌面宽470mm  颜色->黑色,ALL,AMAZON,B,T4B,80.82,38.79,175,-136.21,-0.7783,0.7783
DJ504259_1,US SD 2.4米双人八抽电脑桌  一件一箱 颜色->火烧云,ALL,AMAZON,B,T3,183.35,165.01,174,-8.99,-0.0516,0.0516
DJ504093_1,"US AG 谷仓门乡村风灯泡书桌 一件一箱 尺码->#1,仿古白",ALL,AMAZON,B,T3,185.61,167.05,171,-3.95,-0.0231,0.0231
DJ504130_1,EU AG 铁木悬浮床 2侧托盘 欧标USB排插 灯带 床垫1.4*1.9m 一件一箱 颜色->黑色,ALL,AMAZON,B,T3,168.95,172.58,171,1.58,0.0092,0.0092
DJ503651_1,EU VD 板竹洗衣机架 双单门 2个开放储物格 白色+原色 一个一箱 颜色->白色,ALL,AMAZON,B,T3,128.82,135.27,170,-34.73,-0.2043,0.2043
DJ505165_1,US GS03 7抽转角侧梯低阁楼床带灯带正面3空格储物 颜色->黑色,ALL,AMAZON,A,T4B,111.35,45.43,170,-124.57,-0.7328,0.7328
DJ502952_2,US SD 23款L桌高桌 一件一箱 颜色->989-2色,ALL,AMAZON,C,T3,147.24,132.52,169,-36.48,-0.2159,0.2159
DJ503516_1,US SD 1.4米美式三抽纯板材电脑桌  一件一箱 颜色->白黑,ALL,AMAZON,B,T3,224.17,201.75,169,32.75,0.1938,0.1938
DJ503855_1,US 带柜门抽屉美式书架 一件一箱 颜色->白黑,ALL,AMAZON,B,T3,201.24,182.13,169,13.13,0.0777,0.0777
DJ503917_1,US 玻璃门L桌高桌带布兜款 一件一箱 颜色->火烧云,ALL,AMAZON,C,T3,172.22,156.07,169,-12.93,-0.0765,0.0765
DJ504183_1,"US UA 拱顶壁柜铣型门板 一件一箱 颜色->黑色,黑浮雕",ALL,AMAZON,B,T3,119.89,125.89,169,-43.11,-0.2551,0.2551
